name,latitude,longitude,cctvUrl,type,roadId,resolution,format,time
[서해안선] 양장,34.882755,126.496376,http://cctvsec.ktict.co.kr/149/uMTDpvG0vEzIE9q2gY0u32BydkgPS4ed+wZQe4e284Z065lDQJp6maIlzbxWiKOP3vPqbUlKjd36bfD/p2Z2dW2/2osAdhbb9xK5qg2lSUQ=,1,,,HLS,
[남해선] 장동1터널 외부(영암),34.739718,126.970943,http://cctvsec.ktict.co.kr/331/aIZZH8KfhQL+UARP9MHLtqdB7Xr8KdPSprksaP/B9jwwBYevLKNmW4HU+1hTajYR+3Mbqs5hD2M2CZrYms/ovDoItlAJ+xZtcu3p37hKGXk=,1,,,HLS,
[남해선] 장동1터널 외부(순천),34.753490,126.988319,http://cctvsec.ktict.co.kr/332/dpATfuHYNXsLkR208QvF0BsTp4IT0r+XDUWoyClBCpYd5EB8UNcr7t7Sm+6+eGHcf2qpDaMEsiQdCmtLJn9R7qZ2UZgbTKDZ1cwd+YkzM4Q=,1,,,HLS,
[서해안선] 목포영업소,34.872462,126.492711,http://cctvsec.ktict.co.kr/2202/qpYiuemL0vcKDsU7KHQEn9jfx4s/1KKCB4X6oD31SvxPJ8YsWe2M8oFxTnhtDDKPEVCpCcKLviFjSzGz4Wt7srUbaV4os1koKdbWswT2/18=,1,,,HLS,
[서해안선] 목포영업소#1,34.864937,126.488907,http://cctvsec.ktict.co.kr/2793/15dWOWqBrpzwdeszpjTjjUgHzvTW6AtmJ/MKBsqm/mZeiNimZFt2WTEEeO2WcuiHO5mSU+HyX8AtowmNZVes3YW7AN4gidwTwiCrbKhzLkQ=,1,,,HLS,
[서해안선] 몽탄2교,34.945648,126.504768,http://cctvsec.ktict.co.kr/2794//GLl2me6KF4pUHnjTiWsxZAiqG/Ok+Q1yCDuBkdT7EM33BgIIeNDg36vKyebGk/b/W+TfTmXBqqz9ih+KNz5SnLolmQgxsdw8OBrNSqVnC4=,1,,,HLS,
[남해선] 평기1교,34.692417,126.758167,http://cctvsec.ktict.co.kr/3064/M7qpGPIuOrlpQJyFQHHnjNygC+a+e0Z90BSe9eWu0tFWfspi+D0eCsavYkUhycYgXDt6BHVQfYkZRSEqKeHJDM0CG/g8schLK+5N2qykDrk=,1,,,HLS,
[남해선] 영암휴게소,34.707279,126.640299,http://cctvsec.ktict.co.kr/3066/llXjgo+K76UqeG5h/n0PSgGn0+XoafVDOCRnONskoOW3uKMiMfwUYajbLzlQBcQkIISnzNyi957rHAHhXoGslRhj0gorGw0PSNJWJPm/mzE=,1,,,HLS,
[남해선] 장흥,34.708694,126.907028,http://cctvsec.ktict.co.kr/3067/9pMo9ADID9gBMihrrKvImlEP/UmunGd1UA1r1lsh0vniLRIt+qFwG7yDtCw39VI7qU9RjfSy1ZtzChDhv8RFt4V2pwkPtvM8Yg+GRjRTdjY=,1,,,HLS,
[남해선] 호계1교,34.715278,126.928611,http://cctvsec.ktict.co.kr/3068/gdrX9GgMkfies1lp3k6hhdlEASbsTfmBm3lDhABT87YhYYWakJafOswIqFkjtz3Juz+D3jDMncNKaa5851CTtUZUJxVd/yYNUcQlSOToTT8=,1,,,HLS,
[남해선] 영암휴게소,34.708134,126.635245,http://cctvsec.ktict.co.kr/3070/mW2g1mPheJbqzrZCGoOyhoWg8UTlRItmakkMvJIdVs5iWgKsicZ9fJ0/si4a3xsbso6Pkfxwa7F512AQTJEpwnKYq6TaDesh6ugXL+LcI+w=,1,,,HLS,
[남해선] 성전교,34.696570,126.698980,http://cctvsec.ktict.co.kr/3071/yRHSspu4ZI3Q8zcSOjqsoQJZCdDwPVVoEcDjqSncsWP52ZycmoXMaNEAvm070x8Up9lgXhy0e/hbFaDLQzfUsIRB8p27fqx7XTt4dHlzeBw=,1,,,HLS,
[고창담양선] 진원,34.948722,126.505146,http://cctvsec.ktict.co.kr/94835/A+CKNxp/UpkEXh0j1xtBHkzuwiJSL+aas8FYTltG+ayqM5VgKdgrjX7rSZzfSLpTkuySPDL8IkAETqqC7c2Zy152+Md/3BzJywCYhKUPff0=,1,,,HLS,
[남해선] 강진무위사,34.697817,126.713053,http://cctvsec.ktict.co.kr/3075/RJixbXnfivbLr4bAQxzxuIZLKo76rTnAROpGp8vGtVvn+eH0Q8pM+RH4Y9dGTGtTt+DFSU2lnnxpFzO7JS51NZh+qt+JLi3IGr6dOJZzh0Q=,1,,,HLS,
[남해선] 서영암영업소,34.737917,126.571583,http://cctvsec.ktict.co.kr/3077/3MqFdW01y0A1CkFDxcEhErS9mBB5nfJOMHUJJh5hVJTdJAwm4Lk7kF2WZTBSjz7N08je7UL/ptkjP0Mb7PNeqkxrqF+Kki/EUUxY1xN4pH4=,1,,,HLS,
[남해선] 서영암,34.753160,126.529360,http://cctvsec.ktict.co.kr/3078/r8zQYlO/0CCgZ0HMSEFyEIjn55om8o24ewcss6ezpLjudHnS5k6QPBHnz/YDi/SZL5xc1rzmBaT+3ZAvVc/w/7xYT94eLilK8ZCe7FPoWII=,1,,,HLS,
[서해안선] 일로,34.858890,126.482220,http://cctvsec.ktict.co.kr/3185/hqf65Ql6j5WJHLyf4QMlHqtB43eKLYYzUEIiJ1q2pXDv6N3xT9+wfdLKm/bB6Fe+YDzKJXZ6dlOWmRdnVte3/C70ZdoHnbxCF0j31wIVjxo=,1,,,HLS,
[남해선] [순천]장동1터널(순천외부),34.738651,126.969653,http://cctvsec.ktict.co.kr/8572/lz5/fsUOAIKGM3hMW7+Jw7/XjyKOgwNXb2tEubyftiyL5XdWcH/ugydL+8Pm2KhrpekIMHHY/+s7I9vL6Au2jxZRRzx1HcfQjDgkJlTatfw=,1,,,HLS,
