name,latitude,longitude,cctvUrl,city,district,town
전라남도 무안군,34.882755,126.496376,http://cctvsec.ktict.co.kr/149/uMTDpvG0vEzIE9q2gY0u32BydkgPS4ed+wZQe4e284Z065lDQJp6maIlzbxWiKOP+1O/0E33Pa3LKSbHWQ9DWtJqFf6jS4gfW/7SfH6ZzGg=,전라남도,무안군,몽탄면
전라남도 장흥군,34.739718,126.970943,http://cctvsec.ktict.co.kr/331/aIZZH8KfhQL+UARP9MHLtqdB7Xr8KdPSprksaP/B9jwwBYevLKNmW4HU+1hTajYRt22iSzezyaCm/nAZLUjoU/X5Za8fiV/ThyMjDrfuZdk=,전라남도,장흥군,장동면
전라남도 장흥군,34.753490,126.988319,http://cctvsec.ktict.co.kr/332/dpATfuHYNXsLkR208QvF0BsTp4IT0r+XDUWoyClBCpYd5EB8UNcr7t7Sm+6+eGHcq0LOj/jepXQRuVQ+0wOPCIBJjcD20gwtR3aXT0CuFUU=,전라남도,장흥군,장동면
전라남도 무안군,34.872462,126.492711,http://cctvsec.ktict.co.kr/2202/qpYiuemL0vcKDsU7KHQEn9jfx4s/1KKCB4X6oD31SvxPJ8YsWe2M8oFxTnhtDDKPEu41JwJYKBjbE8rvRKwXay5r32wF35ILY3dz3hg+MHM=,전라남도,무안군,일로읍
전라남도 무안군,34.864937,126.488907,http://cctvsec.ktict.co.kr/2793/15dWOWqBrpzwdeszpjTjjUgHzvTW6AtmJ/MKBsqm/mZeiNimZFt2WTEEeO2WcuiH3vacuV0yz82Gk/Bu1zMnN4rBwysb5/WztVdoQGuud7Y=,전라남도,무안군,일로읍
전라남도 무안군,34.945648,126.504768,http://cctvsec.ktict.co.kr/2794//GLl2me6KF4pUHnjTiWsxZAiqG/Ok+Q1yCDuBkdT7EM33BgIIeNDg36vKyebGk/briBu1/jXxHNOrjR/MXcKpicQNkNPO5VASFPlQxuZdiQ=,전라남도,무안군,몽탄면
전라남도 강진군,34.692417,126.758167,http://cctvsec.ktict.co.kr/3064/M7qpGPIuOrlpQJyFQHHnjNygC+a+e0Z90BSe9eWu0tFWfspi+D0eCsavYkUhycYgHn1SpzuOW+Txcyje6yALRmvewYk1r/f8/VtE3zO5NqQ=,전라남도,강진군,작천면
전라남도 영암군,34.707279,126.640299,http://cctvsec.ktict.co.kr/3066/llXjgo+K76UqeG5h/n0PSgGn0+XoafVDOCRnONskoOW3uKMiMfwUYajbLzlQBcQkPI954o1F21yb3zNq5qLZLV+v2l34MFffHlSkvAm8uIM=,전라남도,영암군,학산면
전라남도 장흥군,34.708694,126.907028,http://cctvsec.ktict.co.kr/3067/9pMo9ADID9gBMihrrKvImlEP/UmunGd1UA1r1lsh0vniLRIt+qFwG7yDtCw39VI7kJ0hgCn6eJO+gYLtu5S0sgJys+sONcyRRUf7KJxGJrc=,전라남도,장흥군,부산면
전라남도 장흥군,34.715278,126.928611,http://cctvsec.ktict.co.kr/3068/gdrX9GgMkfies1lp3k6hhdlEASbsTfmBm3lDhABT87YhYYWakJafOswIqFkjtz3JxcpJg5S8GPATwG2KQtxfYx1iGAHYFvI0CAGXsIGmcSI=,전라남도,장흥군,부산면
전라남도 영암군,34.708134,126.635245,http://cctvsec.ktict.co.kr/3070/mW2g1mPheJbqzrZCGoOyhoWg8UTlRItmakkMvJIdVs5iWgKsicZ9fJ0/si4a3xsbcANEbzinjAIvBZzSobnyjLwHuqVUyJfPlAkJckHRayw=,전라남도,영암군,학산면
전라남도 강진군,34.696570,126.698980,http://cctvsec.ktict.co.kr/3071/yRHSspu4ZI3Q8zcSOjqsoQJZCdDwPVVoEcDjqSncsWP52ZycmoXMaNEAvm070x8UsJngG0W2irmDDRTW8GR9TJ99Y+iXRxk9uBY6RZtvA/M=,전라남도,강진군,성전면
전라남도 무안군,34.948722,126.505146,http://cctvsec.ktict.co.kr/94835/A+CKNxp/UpkEXh0j1xtBHkzuwiJSL+aas8FYTltG+ayqM5VgKdgrjX7rSZzfSLpTWiel2cA4oAmFiNvOed6QllIIRibMpt/Ghkt19KEoy1I=,전라남도,무안군,몽탄면
전라남도 강진군,34.697817,126.713053,http://cctvsec.ktict.co.kr/3075/RJixbXnfivbLr4bAQxzxuIZLKo76rTnAROpGp8vGtVvn+eH0Q8pM+RH4Y9dGTGtTVXyn7Il/j4zM70AH4V1fkOJoLGJMXu5HScqrlmpspCI=,전라남도,강진군,성전면
전라남도 영암군,34.737917,126.571583,http://cctvsec.ktict.co.kr/3077/3MqFdW01y0A1CkFDxcEhErS9mBB5nfJOMHUJJh5hVJTdJAwm4Lk7kF2WZTBSjz7Ns1WQ+Q5gMv8WOKqZQNOiQHMbZzjbXsT+IszVTI/zyRg=,전라남도,영암군,서호면
전라남도 영암군,34.753160,126.529360,http://cctvsec.ktict.co.kr/3078/r8zQYlO/0CCgZ0HMSEFyEIjn55om8o24ewcss6ezpLjudHnS5k6QPBHnz/YDi/SZX/40S1m/aHMhqqcLYfakX6tHnt28Tx2QUXmSuG6j8Mk=,전라남도,영암군,학산면
전라남도 무안군,34.858890,126.482220,http://cctvsec.ktict.co.kr/3185/hqf65Ql6j5WJHLyf4QMlHqtB43eKLYYzUEIiJ1q2pXDv6N3xT9+wfdLKm/bB6Fe+rbpczq/9n+PIgVZlkXr1M6cwlxTEiT3VODZsNFET+cI=,전라남도,무안군,일로읍
